"","Released","Age","Gender","Employed","Records","Priority"
"2406","Yes",18,"M","Yes",0,"Common"
"2407","Yes",17,"M","Yes",0,"Common"
"2412","Yes",21,"M","Yes",0,"Common"
"2415","Yes",21,"M","Yes",4,"Considerable Attention"
"2416","Yes",24,"M","Yes",0,"Common"
"2418","Yes",27,"M","Yes",0,"Common"
"2426","Yes",19,"M","Yes",1,"Common"
"2427","Yes",19,"M","Yes",2,"Common"
"2428","Yes",20,"M","No",1,"Common"
"2429","Yes",27,"M","No",3,"Common"
"2432","Yes",24,"M","Yes",3,"Common"
"2435","Yes",23,"F","Yes",0,"Common"
"2437","Yes",21,"M","Yes",2,"Common"
"2440","Yes",24,"M","Yes",3,"Common"
"2443","Yes",21,"M","Yes",3,"Considerable Attention"
"2444","Yes",16,"M","Yes",0,"Common"
"2445","Yes",25,"M","Yes",0,"Common"
"2446","Yes",31,"M","Yes",3,"Common"
"2447","No",28,"M","Yes",2,"Common"
"2448","Yes",44,"M","Yes",0,"Common"
"2449","Yes",23,"M","Yes",0,"Common"
"2450","No",20,"M","Yes",2,"Common"
"2453","Yes",23,"M","Yes",1,"Common"
"2458","Yes",15,"M","Yes",3,"High Attendition"
"2465","Yes",23,"M","Yes",2,"Common"
"2467","Yes",14,"M","Yes",1,"Common"
"2468","No",22,"M","Yes",3,"Common"
"2469","Yes",16,"M","Yes",2,"High Attendition"
"2473","Yes",38,"M","Yes",2,"Common"
"2476","Yes",21,"M","Yes",3,"Considerable Attention"
"2479","Yes",21,"M","Yes",3,"Considerable Attention"
"2481","Yes",22,"M","Yes",1,"Common"
"2484","No",16,"M","Yes",1,"Common"
"2493","Yes",25,"M","Yes",0,"Common"
"2495","Yes",20,"M","Yes",0,"Common"
"2496","Yes",24,"M","Yes",2,"Common"
"2497","Yes",19,"M","Yes",0,"Common"
"2499","Yes",18,"M","Yes",2,"Common"
"2501","Yes",18,"F","No",2,"Common"
"2502","Yes",18,"M","Yes",0,"Common"
"2503","Yes",30,"M","No",4,"Common"
"2509","Yes",20,"M","Yes",3,"Considerable Attention"
"2511","Yes",16,"M","Yes",0,"Common"
"2517","Yes",19,"M","Yes",2,"Common"
"2523","Yes",30,"M","Yes",1,"Common"
"2524","Yes",21,"M","Yes",2,"Common"
"2526","Yes",16,"M","Yes",0,"Common"
"2527","Yes",21,"M","Yes",1,"Common"
"2528","Yes",22,"M","No",3,"Common"
"2530","Yes",22,"M","Yes",3,"Common"
"2534","Yes",21,"M","Yes",1,"Common"
"2535","Yes",17,"M","Yes",0,"Common"
"2536","Yes",26,"M","Yes",1,"Common"
"2538","Yes",19,"M","Yes",0,"Common"
"2546","No",26,"M","Yes",1,"Common"
"2547","Yes",33,"M","Yes",0,"Common"
"2548","Yes",20,"M","Yes",4,"Considerable Attention"
"2550","No",21,"M","Yes",0,"Common"
"2551","Yes",19,"M","Yes",2,"Common"
"2554","Yes",18,"M","Yes",4,"Common"
"2555","Yes",36,"M","Yes",2,"Common"
"2559","Yes",18,"F","Yes",1,"Common"
"2560","Yes",24,"M","Yes",0,"Common"
"2561","Yes",18,"M","Yes",1,"Common"
"2564","Yes",30,"M","No",1,"Common"
"2565","Yes",21,"M","Yes",0,"Common"
"2568","Yes",20,"M","Yes",1,"Common"
"2570","Yes",27,"M","Yes",0,"Common"
"2571","Yes",17,"M","Yes",0,"Common"
"2574","Yes",15,"M","Yes",0,"Common"
"2576","Yes",15,"F","Yes",0,"Common"
"2577","Yes",22,"M","Yes",0,"Common"
"2579","No",35,"M","Yes",3,"Common"
"2580","Yes",26,"M","No",2,"Common"
"2583","Yes",17,"F","Yes",1,"Common"
"2585","Yes",16,"M","Yes",0,"Common"
"2587","Yes",22,"M","No",1,"Common"
"2588","Yes",17,"M","Yes",5,"High Attendition"
"2591","Yes",15,"M","Yes",1,"Common"
"2593","Yes",19,"M","Yes",0,"Common"
"2595","Yes",20,"M","Yes",1,"Common"
"2598","Yes",26,"F","Yes",0,"Common"
"2600","Yes",24,"M","Yes",1,"Common"
"2602","Yes",24,"M","Yes",2,"Common"
"2603","Yes",19,"M","Yes",3,"Considerable Attention"
"2604","Yes",34,"M","Yes",3,"Common"
"2606","Yes",18,"M","Yes",0,"Common"
"2608","Yes",15,"M","Yes",2,"High Attendition"
"2614","Yes",18,"M","Yes",0,"Common"
"2615","Yes",20,"M","No",3,"Considerable Attention"
"2616","Yes",22,"M","Yes",1,"Common"
"2618","Yes",17,"M","Yes",0,"Common"
"2619","No",22,"M","Yes",2,"Common"
"2620","Yes",18,"M","Yes",0,"Common"
"2621","Yes",17,"M","Yes",4,"High Attendition"
"2622","Yes",36,"M","Yes",0,"Common"
"2625","Yes",16,"M","Yes",2,"High Attendition"
"2626","Yes",20,"M","Yes",2,"Common"
"2628","Yes",17,"F","Yes",0,"Common"
"2630","No",16,"M","Yes",1,"Common"
"2635","Yes",24,"M","Yes",4,"Common"
"2636","Yes",19,"M","Yes",0,"Common"
"2643","No",27,"M","Yes",4,"Common"
"2646","Yes",27,"M","Yes",2,"Common"
"2648","Yes",35,"M","Yes",2,"Common"
"2649","Yes",19,"F","Yes",1,"Common"
"2650","Yes",35,"M","Yes",3,"Common"
"2652","Yes",15,"M","Yes",0,"Common"
"2653","Yes",17,"M","Yes",1,"Common"
"2655","Yes",22,"M","No",2,"Common"
"2657","No",24,"M","Yes",3,"Common"
"2659","Yes",43,"M","Yes",3,"Common"
"2663","Yes",22,"M","Yes",0,"Common"
"2665","Yes",36,"M","Yes",4,"Common"
"2666","Yes",26,"M","Yes",0,"Common"
"2667","Yes",22,"M","No",0,"Common"
"2668","Yes",20,"M","Yes",1,"Common"
"2674","Yes",21,"M","Yes",1,"Common"
"2675","Yes",18,"M","Yes",0,"Common"
"2679","Yes",15,"M","Yes",0,"Common"
"2680","No",49,"M","No",5,"Common"
"2683","Yes",16,"F","Yes",0,"Common"
"2685","Yes",41,"F","No",1,"Common"
"2686","Yes",18,"M","Yes",1,"Common"
"2687","Yes",23,"M","Yes",0,"Common"
"2689","Yes",18,"M","Yes",0,"Common"
"2690","Yes",39,"M","Yes",2,"Common"
"2695","Yes",23,"M","No",2,"Common"
"2696","Yes",54,"M","Yes",3,"Common"
"2697","No",42,"M","No",4,"Common"
"2698","Yes",17,"M","Yes",1,"Common"
"2699","Yes",15,"M","Yes",0,"Common"
"2706","Yes",32,"M","Yes",3,"Common"
"2708","No",21,"M","Yes",3,"Considerable Attention"
"2711","No",17,"M","Yes",3,"High Attendition"
"2714","Yes",20,"M","No",0,"Common"
"2716","Yes",16,"M","Yes",3,"High Attendition"
"2719","Yes",17,"M","Yes",3,"High Attendition"
"2722","Yes",37,"M","Yes",0,"Common"
"2723","Yes",22,"M","No",1,"Common"
"2724","Yes",30,"M","Yes",1,"Common"
"2726","Yes",15,"M","Yes",3,"High Attendition"
"2727","No",29,"M","No",3,"Common"
"2728","No",16,"M","Yes",0,"Common"
"2729","Yes",44,"M","Yes",0,"Common"
"2730","No",28,"F","No",5,"Common"
"2731","Yes",41,"M","No",2,"Common"
"2732","Yes",21,"M","No",3,"Considerable Attention"
"2733","Yes",22,"M","Yes",3,"Common"
"2735","Yes",17,"M","Yes",2,"High Attendition"
"2739","Yes",20,"M","Yes",0,"Common"
"2742","Yes",36,"M","Yes",1,"Common"
"2743","No",23,"M","Yes",4,"Common"
"2748","Yes",14,"M","Yes",0,"Common"
"2752","Yes",18,"M","Yes",1,"Common"
"2753","Yes",38,"M","Yes",3,"Common"
"2754","Yes",33,"M","Yes",4,"Common"
"2755","No",27,"M","Yes",3,"Common"
"2756","Yes",21,"M","Yes",3,"Considerable Attention"
"2757","Yes",20,"M","Yes",2,"Common"
"2759","Yes",20,"M","Yes",2,"Common"
"2765","No",24,"M","Yes",4,"Common"
"2769","Yes",23,"M","Yes",4,"Common"
"2770","No",17,"M","No",5,"High Attendition"
"2775","Yes",18,"M","Yes",2,"Common"
"2776","Yes",61,"M","Yes",1,"Common"
"2778","No",24,"M","No",3,"Common"
"2779","Yes",60,"M","Yes",1,"Common"
"2780","Yes",17,"M","Yes",2,"High Attendition"
"2785","Yes",16,"M","Yes",0,"Common"
"2787","Yes",35,"M","Yes",3,"Common"
"2789","No",19,"M","No",0,"Common"
"2793","Yes",18,"M","Yes",0,"Common"
"2795","Yes",17,"M","No",4,"High Attendition"
"2798","No",19,"M","Yes",0,"Common"
"2799","No",28,"M","Yes",2,"Common"
"2800","Yes",15,"M","Yes",5,"High Attendition"
"2802","Yes",21,"M","Yes",3,"Considerable Attention"
"2803","Yes",17,"M","Yes",0,"Common"
"2806","Yes",22,"M","Yes",1,"Common"
"2807","No",46,"M","Yes",2,"Common"
"2809","Yes",25,"M","Yes",0,"Common"
"2812","Yes",19,"M","Yes",0,"Common"
"2818","Yes",18,"M","Yes",0,"Common"
"2822","Yes",19,"M","Yes",0,"Common"
"2824","No",36,"M","Yes",2,"Common"
"2830","No",15,"F","Yes",1,"Common"
"2833","Yes",13,"M","Yes",0,"Common"
"2834","Yes",22,"M","Yes",2,"Common"
"2835","Yes",27,"M","Yes",0,"Common"
"2839","Yes",39,"M","No",4,"Common"
"2841","Yes",39,"M","Yes",3,"Common"
"2842","Yes",25,"M","Yes",0,"Common"
"2847","Yes",23,"M","Yes",2,"Common"
"2851","Yes",17,"F","Yes",3,"High Attendition"
"2853","Yes",16,"M","Yes",4,"High Attendition"
"2854","Yes",31,"M","Yes",0,"Common"
"2857","Yes",36,"F","No",3,"Common"
"2859","Yes",22,"M","No",2,"Common"
"2862","Yes",19,"M","Yes",3,"Considerable Attention"
"2863","Yes",19,"M","Yes",2,"Common"
"2866","Yes",20,"M","Yes",0,"Common"
"2867","Yes",22,"M","Yes",3,"Common"
"2869","Yes",17,"M","Yes",0,"Common"
"2871","Yes",17,"F","Yes",4,"High Attendition"
"2872","Yes",54,"M","No",3,"Common"
"2874","Yes",20,"M","Yes",1,"Common"
"2875","Yes",19,"M","Yes",0,"Common"
"2876","No",23,"M","Yes",2,"Common"
"2881","Yes",29,"M","Yes",0,"Common"
"2882","Yes",32,"M","Yes",4,"Common"
"2885","Yes",21,"M","No",5,"Considerable Attention"
"2886","Yes",22,"M","Yes",0,"Common"
"2889","Yes",26,"M","Yes",1,"Common"
"2892","Yes",15,"M","Yes",0,"Common"
"2893","Yes",19,"M","Yes",2,"Common"
"2894","Yes",16,"M","Yes",2,"High Attendition"
"2895","Yes",37,"M","Yes",2,"Common"
"2897","Yes",22,"M","Yes",1,"Common"
"2899","Yes",15,"M","No",1,"Common"
"2900","No",29,"M","Yes",4,"Common"
"2907","Yes",19,"M","No",2,"Common"
"2908","Yes",20,"M","Yes",1,"Common"
"2910","Yes",16,"M","Yes",0,"Common"
"2911","No",20,"M","No",4,"Considerable Attention"
"2913","Yes",22,"M","Yes",3,"Common"
"2914","No",20,"M","Yes",3,"Considerable Attention"
"2915","Yes",17,"F","Yes",1,"Common"
"2916","Yes",41,"M","Yes",4,"Common"
"2921","No",45,"M","No",3,"Common"
"2922","Yes",14,"M","Yes",1,"Common"
"2924","Yes",24,"M","Yes",0,"Common"
"2929","Yes",34,"M","Yes",0,"Common"
"2930","No",36,"M","No",4,"Common"
"2936","No",24,"M","Yes",4,"Common"
"2937","Yes",21,"M","No",4,"Considerable Attention"
"2938","Yes",21,"M","Yes",4,"Considerable Attention"
"2939","Yes",15,"F","Yes",0,"Common"
"2942","Yes",18,"M","Yes",1,"Common"
"2944","Yes",39,"M","Yes",0,"Common"
"2945","Yes",24,"M","Yes",0,"Common"
"2946","Yes",21,"M","Yes",2,"Common"
"2947","Yes",32,"M","Yes",2,"Common"
"2949","Yes",19,"M","Yes",1,"Common"
"2953","Yes",22,"M","Yes",2,"Common"
"2954","Yes",22,"M","No",2,"Common"
"2956","Yes",19,"M","Yes",3,"Considerable Attention"
"2957","Yes",41,"M","Yes",5,"Common"
"2958","Yes",29,"M","Yes",2,"Common"
"2959","Yes",23,"M","Yes",2,"Common"
"2960","Yes",36,"F","Yes",0,"Common"
"2966","Yes",20,"F","Yes",1,"Common"
"2967","Yes",40,"M","Yes",0,"Common"
"2969","Yes",31,"M","Yes",3,"Common"
"2971","Yes",17,"M","Yes",1,"Common"
"2972","Yes",25,"M","Yes",4,"Common"
"2973","Yes",16,"F","Yes",1,"Common"
"2976","No",19,"M","Yes",4,"Considerable Attention"
"2978","Yes",25,"M","Yes",0,"Common"
"2979","Yes",16,"M","Yes",4,"High Attendition"
"2980","No",20,"F","Yes",0,"Common"
"2981","Yes",23,"M","Yes",2,"Common"
"2982","Yes",44,"F","Yes",1,"Common"
"2983","Yes",17,"M","Yes",0,"Common"
"2984","Yes",15,"M","Yes",0,"Common"
"2986","Yes",14,"M","Yes",0,"Common"
"2990","Yes",20,"M","Yes",0,"Common"
"2992","No",19,"M","No",3,"Considerable Attention"
"2994","Yes",18,"M","Yes",2,"Common"
"2999","No",36,"M","Yes",3,"Common"
"3001","Yes",14,"M","Yes",0,"Common"
"3004","Yes",26,"M","No",0,"Common"
"3010","Yes",22,"M","Yes",3,"Common"
"3011","Yes",24,"M","Yes",2,"Common"
"3014","Yes",16,"M","Yes",1,"Common"
"3018","Yes",21,"M","Yes",3,"Considerable Attention"
"3021","Yes",43,"M","No",5,"Common"
"3024","Yes",22,"M","Yes",2,"Common"
"3026","Yes",23,"M","Yes",3,"Common"
"3028","Yes",22,"M","Yes",2,"Common"
"3029","Yes",15,"M","Yes",1,"Common"
"3030","Yes",21,"M","Yes",3,"Considerable Attention"
"3031","Yes",29,"M","Yes",3,"Common"
"3033","Yes",35,"M","No",2,"Common"
"3036","Yes",21,"F","No",0,"Common"
"3039","No",14,"M","Yes",3,"High Attendition"
"3041","Yes",23,"M","Yes",1,"Common"
"3043","No",19,"M","No",4,"Considerable Attention"
"3045","Yes",19,"M","Yes",0,"Common"
"3046","Yes",19,"M","Yes",2,"Common"
"3047","Yes",17,"M","Yes",0,"Common"
"3048","Yes",20,"M","Yes",0,"Common"
"3051","Yes",29,"F","Yes",5,"Common"
"3055","Yes",29,"M","Yes",2,"Common"
"3056","Yes",17,"M","Yes",0,"Common"
"3057","Yes",15,"M","Yes",0,"Common"
"3058","Yes",15,"M","Yes",1,"Common"
"3059","Yes",19,"M","No",3,"Considerable Attention"
"3062","Yes",25,"M","Yes",0,"Common"
"3065","No",33,"M","Yes",4,"Common"
"3069","Yes",23,"M","Yes",0,"Common"
"3072","Yes",30,"M","Yes",0,"Common"
"3075","Yes",46,"M","No",1,"Common"
"3080","Yes",19,"M","Yes",0,"Common"
"3094","No",19,"M","No",4,"Considerable Attention"
"3099","Yes",31,"M","Yes",0,"Common"
"3100","No",19,"M","No",4,"Considerable Attention"
"3103","Yes",17,"F","Yes",1,"Common"
"3104","Yes",21,"M","Yes",3,"Considerable Attention"
"3105","Yes",24,"M","Yes",0,"Common"
"3106","Yes",26,"F","Yes",0,"Common"
"3107","Yes",37,"M","Yes",2,"Common"
"3109","Yes",20,"M","Yes",1,"Common"
"3110","No",44,"M","Yes",0,"Common"
"3111","No",21,"M","No",4,"Considerable Attention"
"3115","Yes",16,"M","Yes",4,"High Attendition"
"3117","Yes",38,"F","No",3,"Common"
"3118","Yes",40,"M","Yes",4,"Common"
"3119","Yes",20,"F","Yes",2,"Common"
"3120","Yes",31,"M","Yes",2,"Common"
"3121","Yes",17,"M","Yes",0,"Common"
"3122","Yes",20,"M","Yes",0,"Common"
"3124","No",39,"M","Yes",6,"Common"
"3125","Yes",18,"M","No",1,"Common"
"3126","Yes",23,"M","Yes",1,"Common"
"3130","Yes",30,"M","No",1,"Common"
"3131","Yes",47,"M","Yes",0,"Common"
"3138","Yes",16,"M","No",2,"High Attendition"
"3139","Yes",22,"M","Yes",4,"Common"
"3141","No",40,"M","Yes",2,"Common"
"3142","Yes",16,"F","Yes",0,"Common"
"3144","Yes",14,"M","Yes",0,"Common"
"3145","Yes",26,"M","Yes",0,"Common"
"3147","Yes",17,"M","Yes",3,"High Attendition"
"3148","Yes",19,"M","No",0,"Common"
"3150","Yes",21,"M","No",4,"Considerable Attention"
"3151","Yes",27,"M","Yes",4,"Common"
"3154","Yes",15,"M","Yes",0,"Common"
"3155","Yes",23,"M","Yes",4,"Common"
"3156","Yes",23,"M","Yes",2,"Common"
"3157","Yes",33,"M","Yes",0,"Common"
"3159","No",20,"M","Yes",0,"Common"
"3161","Yes",17,"F","Yes",0,"Common"
"3162","No",16,"M","Yes",1,"Common"
"3163","Yes",26,"M","Yes",2,"Common"
"3167","Yes",18,"M","Yes",4,"Common"
"3170","Yes",18,"M","Yes",0,"Common"
"3171","Yes",20,"M","Yes",4,"Considerable Attention"
"3173","Yes",16,"M","Yes",4,"High Attendition"
"3177","Yes",19,"M","No",2,"Common"
"3178","Yes",14,"M","Yes",2,"High Attendition"
"3181","Yes",16,"M","Yes",0,"Common"
"3182","Yes",28,"M","Yes",0,"Common"
"3183","No",33,"M","Yes",3,"Common"
"3186","Yes",15,"M","Yes",0,"Common"
"3190","Yes",16,"M","Yes",3,"High Attendition"
"3191","Yes",20,"M","Yes",2,"Common"
"3192","No",23,"M","Yes",2,"Common"
"3193","No",23,"M","No",4,"Common"
"3194","Yes",34,"M","Yes",0,"Common"
"3196","Yes",26,"M","Yes",0,"Common"
"3199","Yes",20,"M","Yes",3,"Considerable Attention"
"3200","Yes",25,"M","No",2,"Common"
"3202","Yes",19,"M","Yes",3,"Considerable Attention"
"3204","Yes",19,"M","Yes",1,"Common"
"3205","Yes",20,"M","Yes",1,"Common"
"3214","Yes",18,"M","Yes",3,"Common"
"3218","Yes",16,"M","Yes",1,"Common"
"3221","Yes",17,"M","Yes",1,"Common"
"3225","Yes",18,"M","Yes",0,"Common"
"3227","Yes",16,"M","Yes",0,"Common"
"3228","Yes",21,"M","No",0,"Common"
"3232","Yes",16,"M","Yes",0,"Common"
"3233","Yes",21,"M","Yes",1,"Common"
"3237","Yes",17,"M","Yes",0,"Common"
"3238","Yes",20,"M","Yes",3,"Considerable Attention"
"3240","Yes",28,"M","Yes",3,"Common"
"3242","Yes",21,"M","Yes",2,"Common"
"3247","Yes",17,"M","Yes",0,"Common"
"3249","No",19,"M","No",4,"Considerable Attention"
"3250","Yes",17,"M","Yes",1,"Common"
"3251","Yes",21,"M","Yes",0,"Common"
"3254","No",17,"M","Yes",4,"High Attendition"
"3255","Yes",20,"M","No",1,"Common"
"3261","Yes",23,"M","Yes",0,"Common"
"3262","No",21,"M","Yes",1,"Common"
"3264","Yes",24,"M","Yes",4,"Common"
"3266","Yes",21,"M","No",0,"Common"
"3270","Yes",38,"M","No",3,"Common"
"3272","No",26,"M","No",2,"Common"
"3273","Yes",31,"M","Yes",4,"Common"
"3278","No",21,"M","No",5,"Considerable Attention"
"3279","Yes",24,"M","Yes",3,"Common"
"3281","Yes",17,"M","No",1,"Common"
"3284","Yes",16,"M","Yes",1,"Common"
"3286","No",18,"F","Yes",0,"Common"
"3287","No",18,"F","Yes",0,"Common"
"3288","Yes",19,"M","Yes",0,"Common"
"3289","Yes",20,"M","Yes",2,"Common"
"3290","Yes",47,"M","Yes",1,"Common"
"3296","No",40,"F","No",4,"Common"
"3297","Yes",19,"F","Yes",3,"Considerable Attention"
"3298","Yes",25,"M","Yes",3,"Common"
"3301","Yes",22,"M","No",2,"Common"
"3302","Yes",19,"M","Yes",0,"Common"
"3304","No",28,"M","Yes",4,"Common"
"3306","Yes",18,"M","Yes",1,"Common"
"3308","Yes",18,"M","Yes",3,"Common"
"3309","No",19,"M","Yes",2,"Common"
"3311","Yes",20,"M","Yes",1,"Common"
"3314","Yes",22,"F","Yes",0,"Common"
"3315","Yes",18,"M","Yes",0,"Common"
"3317","Yes",27,"M","Yes",2,"Common"
"3320","Yes",25,"M","Yes",4,"Common"
"3321","Yes",26,"M","Yes",2,"Common"
"3325","Yes",17,"M","Yes",2,"High Attendition"
"3327","Yes",26,"M","Yes",1,"Common"
"3334","Yes",17,"M","Yes",1,"Common"
"3338","Yes",20,"M","No",0,"Common"
"3340","Yes",15,"M","Yes",4,"High Attendition"
"3344","Yes",20,"F","Yes",0,"Common"
"3352","Yes",23,"M","Yes",4,"Common"
"3353","Yes",20,"M","Yes",1,"Common"
"3354","Yes",40,"M","Yes",0,"Common"
"3355","Yes",61,"M","Yes",3,"Common"
"3357","Yes",49,"M","Yes",3,"Common"
"3359","Yes",23,"M","Yes",2,"Common"
"3361","Yes",32,"M","No",2,"Common"
"3362","Yes",17,"M","Yes",0,"Common"
"3366","Yes",45,"M","No",4,"Common"
"3367","Yes",21,"M","No",1,"Common"
"3369","Yes",22,"M","Yes",0,"Common"
"3371","Yes",19,"M","No",0,"Common"
"3372","Yes",20,"M","Yes",2,"Common"
"3374","Yes",21,"M","Yes",0,"Common"
"3377","Yes",39,"M","No",0,"Common"
"3378","Yes",21,"M","Yes",0,"Common"
"3379","Yes",17,"M","Yes",1,"Common"
"3382","Yes",41,"M","Yes",0,"Common"
"3383","Yes",21,"M","Yes",0,"Common"
"3384","Yes",22,"M","Yes",3,"Common"
"3385","Yes",19,"M","Yes",0,"Common"
"3388","Yes",21,"M","Yes",5,"Considerable Attention"
"3389","Yes",26,"M","Yes",3,"Common"
"3390","Yes",25,"M","Yes",1,"Common"
"3391","Yes",20,"F","Yes",0,"Common"
"3392","Yes",30,"M","No",3,"Common"
"3395","Yes",20,"M","Yes",0,"Common"
"3396","Yes",20,"F","Yes",0,"Common"
"3400","Yes",18,"M","Yes",2,"Common"
"3401","No",25,"M","Yes",0,"Common"
"3404","Yes",18,"M","Yes",2,"Common"
"3411","Yes",42,"M","Yes",4,"Common"
"3414","Yes",24,"M","Yes",0,"Common"
"3415","Yes",18,"M","Yes",0,"Common"
"3419","Yes",26,"M","Yes",0,"Common"
"3421","Yes",24,"M","Yes",0,"Common"
"3423","No",31,"M","Yes",4,"Common"
"3424","Yes",19,"M","Yes",3,"Considerable Attention"
"3426","Yes",28,"F","Yes",1,"Common"
"3428","Yes",23,"M","Yes",4,"Common"
"3429","No",16,"M","Yes",3,"High Attendition"
"3431","Yes",17,"M","No",4,"High Attendition"
"3433","No",15,"M","No",4,"High Attendition"
"3437","Yes",18,"M","Yes",0,"Common"
"3438","Yes",25,"M","Yes",3,"Common"
"3440","Yes",34,"M","No",4,"Common"
"3441","Yes",25,"M","Yes",0,"Common"
"3442","Yes",15,"M","Yes",0,"Common"
"3444","Yes",17,"M","Yes",3,"High Attendition"
"3445","Yes",24,"M","Yes",0,"Common"
"3446","Yes",29,"F","Yes",0,"Common"
"3450","Yes",37,"M","Yes",0,"Common"
"3455","Yes",21,"M","Yes",2,"Common"
"3456","Yes",18,"M","Yes",0,"Common"
"3457","Yes",19,"M","Yes",1,"Common"
"3463","Yes",18,"M","Yes",0,"Common"
"3464","No",21,"M","No",3,"Considerable Attention"
"3465","No",15,"M","Yes",2,"High Attendition"
"3466","Yes",21,"F","Yes",0,"Common"
"3470","Yes",18,"M","Yes",0,"Common"
"3471","Yes",18,"F","Yes",0,"Common"
"3472","No",30,"M","Yes",0,"Common"
"3474","Yes",14,"M","Yes",1,"Common"
"3476","Yes",44,"M","Yes",3,"Common"
"3479","Yes",24,"M","Yes",1,"Common"
"3480","Yes",20,"M","Yes",0,"Common"
"3484","Yes",24,"M","No",4,"Common"
"3485","Yes",16,"M","Yes",0,"Common"
"3487","Yes",17,"M","No",2,"High Attendition"
"3492","No",47,"F","No",2,"Common"
"3493","No",37,"M","Yes",3,"Common"
"3496","Yes",14,"M","Yes",0,"Common"
"3499","Yes",20,"M","Yes",2,"Common"
"3502","No",48,"M","Yes",3,"Common"
"3503","Yes",16,"M","Yes",3,"High Attendition"
"3506","Yes",16,"M","Yes",0,"Common"
"3508","Yes",21,"M","Yes",3,"Considerable Attention"
"3518","Yes",23,"M","Yes",2,"Common"
"3521","No",16,"M","Yes",0,"Common"
"3527","Yes",17,"M","Yes",0,"Common"
"3531","Yes",24,"M","Yes",2,"Common"
"3533","Yes",15,"M","Yes",0,"Common"
"3535","Yes",21,"M","Yes",3,"Considerable Attention"
"3537","Yes",36,"M","Yes",3,"Common"
"3538","Yes",44,"M","Yes",1,"Common"
"3542","Yes",16,"F","Yes",1,"Common"
"3543","Yes",20,"M","No",4,"Considerable Attention"
"3545","Yes",18,"M","Yes",0,"Common"
"3546","Yes",17,"M","Yes",2,"High Attendition"
"3547","Yes",25,"M","Yes",1,"Common"
"3549","Yes",21,"M","Yes",2,"Common"
"3550","Yes",22,"M","Yes",0,"Common"
"3552","Yes",19,"M","Yes",3,"Considerable Attention"
"3555","Yes",36,"M","Yes",2,"Common"
"3557","No",19,"M","Yes",2,"Common"
"3559","Yes",18,"M","Yes",1,"Common"
"3562","Yes",26,"M","Yes",1,"Common"
"3564","Yes",16,"M","Yes",0,"Common"
"3565","Yes",34,"M","No",3,"Common"
"3566","Yes",36,"M","Yes",1,"Common"
"3568","Yes",24,"M","No",0,"Common"
"3569","Yes",16,"M","Yes",0,"Common"
"3572","Yes",21,"F","Yes",0,"Common"
"3573","Yes",24,"M","Yes",0,"Common"
"3575","Yes",24,"M","Yes",2,"Common"
"3576","Yes",18,"M","Yes",3,"Common"
"3577","No",17,"M","Yes",4,"High Attendition"
"3578","Yes",19,"M","Yes",2,"Common"
"3579","Yes",21,"M","Yes",0,"Common"
"3580","Yes",19,"M","Yes",3,"Considerable Attention"
"3585","Yes",29,"M","Yes",3,"Common"
"3586","Yes",24,"M","Yes",0,"Common"
"3588","Yes",16,"M","Yes",0,"Common"
"3590","Yes",20,"M","Yes",0,"Common"
"3592","Yes",15,"M","Yes",3,"High Attendition"
"3596","Yes",59,"M","Yes",1,"Common"
"3598","No",37,"M","Yes",3,"Common"
"3605","Yes",45,"M","Yes",0,"Common"
"3606","Yes",18,"M","Yes",0,"Common"
"3607","No",27,"M","Yes",2,"Common"
"3608","Yes",31,"M","Yes",0,"Common"
"3611","Yes",37,"F","No",3,"Common"
"3613","Yes",25,"M","Yes",2,"Common"
"3614","Yes",30,"F","Yes",3,"Common"
"3615","Yes",29,"M","Yes",0,"Common"
"3616","Yes",36,"M","Yes",2,"Common"
"3618","No",28,"M","Yes",0,"Common"
"3619","Yes",21,"M","Yes",1,"Common"
"3622","Yes",17,"M","Yes",1,"Common"
"3623","Yes",18,"M","Yes",0,"Common"
"3626","Yes",19,"M","No",2,"Common"
"3633","Yes",16,"M","No",3,"High Attendition"
"3634","No",15,"M","Yes",3,"High Attendition"
"3637","Yes",16,"M","Yes",2,"High Attendition"
"3640","Yes",19,"M","Yes",1,"Common"
"3641","Yes",16,"M","Yes",0,"Common"
"3643","No",17,"M","No",2,"High Attendition"
"3647","Yes",22,"M","Yes",1,"Common"
"3651","Yes",16,"M","Yes",0,"Common"
"3653","Yes",18,"M","Yes",2,"Common"
"3654","Yes",24,"M","Yes",1,"Common"
"3656","Yes",35,"M","Yes",0,"Common"
"3657","Yes",40,"M","Yes",0,"Common"
"3659","Yes",25,"M","No",3,"Common"
"3663","Yes",17,"F","Yes",4,"High Attendition"
"3667","Yes",19,"M","No",0,"Common"
"3669","No",17,"M","No",5,"High Attendition"
"3673","No",15,"M","Yes",4,"High Attendition"
"3675","Yes",20,"M","No",3,"Considerable Attention"
"3676","No",18,"M","Yes",0,"Common"
"3681","Yes",52,"M","Yes",3,"Common"
"3682","Yes",20,"M","Yes",0,"Common"
"3685","No",21,"M","No",3,"Considerable Attention"
"3686","Yes",45,"M","Yes",1,"Common"
"3687","No",17,"F","Yes",0,"Common"
"3691","Yes",18,"F","No",2,"Common"
"3693","Yes",20,"M","Yes",0,"Common"
"3694","Yes",20,"M","Yes",0,"Common"
"3695","Yes",25,"M","Yes",0,"Common"
"3698","Yes",24,"M","Yes",0,"Common"
